,id,price,beds,baths,parking,title,address,propertyType,status,bond
0,14303265,330.0,1,1,0,$330,"409/757 Bourke, Docklands VIC 3008",Apartment / Unit / Flat,recentlyUpdated,1433.0
1,16089992,430.0,2,1,1,$430 pw,"38/60-68 Gladesville Boulevard, Patterson Lakes VIC 3197",Apartment / Unit / Flat,new,1868.0
2,16089977,420.0,3,1,1,$420,"8 Stoneman Turn, Caroline Springs VIC 3023",House,new,1820.0
3,16089972,640.0,1,1,1,$640 per week,"1510/1 Freshwater Place, Southbank VIC 3006",Apartment / Unit / Flat,new,2781.0
4,16089969,550.0,4,2,2,$550 PER WEEK,"6 Plenty Drive, Warragul VIC 3820",House,new,2390.0
5,16089960,360.0,1,1,1,$360,"10X/154 Elgar Road, Box Hill South VIC 3128",Apartment / Unit / Flat,new,1564.0
6,16089942,460.0,3,2,1,$460 PER WEEK,"5 Bishopthorpe Road, Williams Landing VIC 3027",House,new,1999.0
7,12805722,460.0,2,2,1,$460.00 per week,"9 Johanna Path, Lyndhurst VIC 3975",House,recentlyUpdated,1993.0
8,16089938,630.0,4,2,2,$630 weekly,"90 Shepherd Rd, Glen Waverley VIC 3150",House,new,2738.0
9,16089933,700.0,3,3,2,"$700pw/$3,042pcm","4/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,3042.0
10,15478015,700.0,2,1,0,$700 per week,"15 Dally Street, Clifton Hill VIC 3068",House,recentlyUpdated,3042.0
11,16089930,500.0,4,2,2,$500,"20 Knightsford Avenue, Clyde VIC 3978",House,new,2173.0
12,16089923,360.0,3,1,0,$360 weekly,"2 Vega Court, Newcomb VIC 3219",House,new,1564.0
13,16089922,490.0,2,1,1,$490 weekly,"304/2-6 Duckett Street, Brunswick VIC 3056",Apartment / Unit / Flat,new,2129.0
14,16089919,500.0,2,2,1,"$500pw/$2,172pcm","2/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,2172.0
15,16089911,360.0,3,1,2,$360 Per Week,"5 Roxburgh Road, Yallourn North VIC 3825",House,new,1560.0
16,16089894,780.0,4,3,2,"$780pw/$3,390pcm","3/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,3390.0
17,16089889,450.0,1,1,1,$450,"113/392 St Georges Road, Fitzroy North VIC 3068",Apartment / Unit / Flat,new,1955.0
18,16089886,495.0,4,2,2,$495,"8 Cropping Street, Clyde North VIC 3978",House,new,2129.0
19,16089883,500.0,3,1,3,$500 weekly,"13 Longbrae Ave, Forest Hill VIC 3131",House,new,2173.0
20,15900569,865.0,4,3,2,$865,"7b Bevis Street, Bentleigh East VIC 3165",House,recentlyUpdated,3759.0
21,16089871,450.0,4,2,3,$450 weekly,"45 Ruthven Street, Sunbury VIC 3429",House,new,1955.0
22,16089864,550.0,2,1,1,$550,"17/384 Bluff Road, Sandringham VIC 3191",House,new,2390.0
23,16089863,280.0,4,1,0,$280.00,"190 LAKE RD, Stawell VIC 3380",House,new,1216.0
24,16089860,440.0,2,2,2,$440 per week,"3/84 Winfield Road, Balwyn North VIC 3104",Apartment / Unit / Flat,new,1912.0
25,16089857,465.0,1,1,1,$465,"503/75 Wellington Street, Collingwood VIC 3066",Apartment / Unit / Flat,new,2000.0
26,16089852,780.0,4,3,2,"$780pw/$3,390pcm","1/21 Rosebank Avenue, Ringwood North VIC 3134",Townhouse,new,3390.0
27,16089846,435.0,2,1,2,$435.00 per week,"11/316 Skye Road, Frankston VIC 3199",Apartment / Unit / Flat,new,1890.0
28,16089842,525.0,2,1,0,$525 Per Week,"1307/250 City Rd, Southbank VIC 3006",House,new,2100.0
29,16089841,330.0,3,1,1,$330,"1/139 Anderson Road, Albion VIC 3020",Apartment / Unit / Flat,new,1430.0
30,16089817,525.0,3,1,1,$525.00,"1/10 Elm Grove, McKinnon VIC 3204",Apartment / Unit / Flat,new,2281.0
31,16089812,470.0,3,2,2,$470,"21 Wattleview Road, Roxburgh Park VIC 3064",House,new,2037.0
