,Shopping Centre Name,Suburb,Latitude,Longitude
0,206 BOURKE STREET Victoria, Melbourne,-37.812733,144.966947
1,ACLAND COURT SHOPPING CENTRE Victoria, St Kilda,-37.868967,144.980617
2,ALTONA GATE SHOPPING CENTRE Victoria, Melbourne,-37.828989,144.84627
3,BALNARRING VILLAGE SHOPPING CENTRE Victoria, Balnarring,-38.373199,145.12501
4,BARKLY SQUARE Victoria, Brunswick,-37.775695,144.962004
5,BARRABOOL HILLS PLAZA Victoria, Geelong,-38.161872,144.305826
6,BAYSIDE SHOPPING CENTRE Victoria, Frankston,-38.141951,145.124068
7,BELLARINE VILLAGE SHOPPING CENTRE Victoria, Newcomb,-38.168784,144.388547
8,BELLPOST SHOPPING CENTRE Victoria, Geelong,-38.089309,144.336645
9,BELMONT VILLAGE Victoria, Belmont,-38.170104,144.349107
10,BENDIGO MARKETPLACE Victoria, Bendigo,-36.765765,144.280743
11,BENTONS SQUARE SHOPPING CENTRE Victoria, Mornington,-38.245416,145.048067
12,BERWICK MARKETPLACE Victoria, Berwick,-38.02951,145.346619
13,BIRALLEE VILLAGE SHOPPING CENTRE Victoria, Wodonga,-36.127763,146.86482
14,BOURKE STREET MALL Victoria, Melbourne,-37.813538,144.964386
15,BOX HILL CENTRAL Victoria, Box Hill,-37.818677,145.12179
16,BRAND SMART PREMIUM OUTLET CENTRE Victoria, Nunawading,-37.819375,145.1714718
17,BRANDON PARK SHOPPING CENTRE Victoria, Wheelers Hill,-37.905522,145.161647
18,BRAYBROOK SHOPPING CENTRE Victoria, Braybrook,-37.782172,144.86422
19,BRIMBANK CENTRAL SHOPPING CENTRE Victoria, Deer Park,-37.751223,144.775276
20,BROADMEADOWS SHOPPING CENTRE Victoria, Broadmeadows,-37.680244,144.91953
21,BULLEEN PLAZA Victoria, Bulleen,-37.76613,145.091637
22,BURNSIDE HUB Victoria, Burnside,-37.75938,144.753677
23,BURWOOD ONE SHOPPING CENTRE Victoria, Burwood East,-37.853784,145.149761
24,CAMBERWELL SUNDAY MARKET Victoria, Camberwell,-37.82931,145.058043
25,CAMPBELLFIELD PLAZA Victoria, Melbourne,-37.689343,144.960737
26,CANTERBURY GARDENS SHOPPING CENTRE Victoria, Bayswater,-37.822732,145.301494
27,CARNEGIE CENTRAL Victoria, Carnegie,-37.884786,145.058444
28,CAULFIELD PLAZA SHOPPING CENTRE Victoria, Caulfield East,-37.876146,145.04284
29,CENTRAL SQUARE SHOPPING CENTRE Victoria, Altona Meadows,-37.873122,144.776038
30,CENTRAL WEST SHOPPING CENTRE Victoria, Braybrook,-37.793489,144.861609
31,CENTRO SUNSHINE MARKETPLACE Victoria, Sunshine,-37.78187,144.831506
32,CENTURY CITY WALK Victoria, Glen Waverley,-37.881427,145.164632
33,CHADSTONE THE FASHION CAPITAL Victoria, Chadstone,-37.886038881076,145.08346106348
34,CHIRNSIDE HOMEMAKER CENTRE Victoria, Chirnside Park,-37.765247,145.305655
35,CHIRNSIDE PARK SHOPPING CENTRE Victoria, Chirnside Park,-37.758258,145.313972
36,CIVIC SQUARE SHOPPING CENTRE Victoria, Croydon,-37.799301795285,145.28299318557
37,COBURG HILL SHOPPING CENTRE Victoria, Coburg North,-37.729625,144.983537
38,COLLINS PLACE Victoria, Melbourne,-37.814312,144.97268
39,COLLINS234 BOUTIQUE PLACE Victoria, Melbourne,-37.815545,144.965749
40,CORIO VILLAGE SHOPPING CENTRE Victoria, Corio,-38.074772,144.355819
41,CRAIGIEBURN CENTRAL Victoria, Craigieburn,-37.592986,144.912268
42,CRANBOURNE HOMEMAKER CENTRE Victoria, Cranbourne,-38.085817,145.279178
43,CRANBOURNE PARK Victoria, Cranbourne,-38.109657,145.282017
44,CROYDON CENTRAL SHOPPING CENTRE Victoria, Croydon,-37.794026,145.278937
45,CS SQUARE SHOPPING CENTRE Victoria, Caroline Springs,-37.731774,144.743748
46,DANDENONG PLAZA Victoria, Dandenong,-37.986731,145.217684
47,DARLEY PLAZA Victoria, Darley,-37.659449,144.440871
48,DFO ESSENDON Victoria, Essendon,-37.733125,144.906547
49,DFO MOORABBIN Victoria, Moorabbin,-37.971261,145.08812
50,DFO SOUTH WHARF Victoria, South Wharf,-37.825196,144.949879
51,DIAMOND CREEK SHOPPING STATION Victoria, Diamond Creek,-37.673551,145.15957
52,DINGLEY VILLAGE SHOPPING CENTRE Victoria, Dingley Village,-37.983412,145.132541
53,DROMANA HUB SHOPPING CENTRE Victoria, Dromana,-38.333538,144.964645
54,EASTLAND SHOPPING CENTRE Victoria, Ringwood,-37.812672,145.229157
55,EASTWOOD VILLAGE SHOPPING CENTRE Victoria, Bairnsdale,-37.826676,147.629682
56,ELIZA SQUARE SHOPPING CENTRE Victoria, Mount Eliza,-38.183794,145.089375
57,ELTHAM VILLAGE SHOPPING CENTRE Victoria, Eltham,-37.714902,145.148743
58,EMPORIUM MELBOURNE Victoria, Melbourne,-37.812517,144.963555
59,ENDEAVOUR HILLS SHOPPING CENTRE Victoria, Endeavour Hills,-37.976993,145.258788
60,EPPING NORTH SHOPPING CENTRE Victoria, Epping,-37.628168,145.027155
61,FEDERATION SQUARE (FED SQUARE) Victoria, Melbourne,-37.81797,144.969024
62,FOOTSCRAY MARKET Victoria, Footscray,-37.800522,144.901875
63,FOOTSCRAY PLAZA SHOPPING CENTRE Victoria, Footscray,-37.802426,144.894785
64,FOREST HILL CHASE SHOPPING CENTRE Victoria, Forest Hill,-37.835453,145.164718
65,FRANKSTON POWER CENTRE Victoria, Frankston,-38.148946,145.137326
66,GALLERIA MELBOURNE Victoria, Melbourne,-37.814824,144.962743
67,GATEWAY PLAZA Victoria, Warrnambool,-38.381608,142.519768
68,GEELONG GATE HOMEMAKER CENTRE Victoria, Geelong,-38.065015,144.383085
69,GIPPSLAND CENTRE Victoria, Sale,-38.106745,147.06271
70,GISBORNE VILLAGE SHOPPING CENTRE Victoria, Gisborne,-37.485605,144.589909
71,GLADSTONE PARK SHOPPING CENTRE Victoria, Gladstone Park,-37.688293,144.88463
72,GREENSBOROUGH PLAZA Victoria, Greensborough,-37.702696,145.102816
73,GREENVALE SHOPPING CENTRE Victoria, Greenvale,-37.639349,144.881948
