beds,avg_price,count,propertyType,suburb,median
1,344.44444444444446,9,Apartment / Unit / Flat,Glen Iris,375.0
1,263.3333333333333,3,Apartment / Unit / Flat,Glenroy,250.0
1,260.0,1,Apartment / Unit / Flat,Greensborough,260.0
1,282.5,2,Apartment / Unit / Flat,Hadfield,282.5
1,210.0,1,Apartment / Unit / Flat,Hamilton,210.0
1,288.3333333333333,3,Apartment / Unit / Flat,Hamlyn Heights,285.0
1,350.0,1,Apartment / Unit / Flat,Hampton,350.0
1,330.0,1,Apartment / Unit / Flat,Hampton Park,330.0
1,260.0,1,Apartment / Unit / Flat,Hawkesdale,260.0
1,373.28125,32,Apartment / Unit / Flat,Hawthorn,362.5
1,390.6666666666667,15,Apartment / Unit / Flat,Hawthorn East,390.0
1,286.6666666666667,3,Apartment / Unit / Flat,Herne Hill,295.0
1,355.0,1,Apartment / Unit / Flat,Highett,355.0
1,305.0,2,Apartment / Unit / Flat,Highton,305.0
1,400.0,1,Apartment / Unit / Flat,Hughesdale,400.0
1,366.4285714285714,7,Apartment / Unit / Flat,Ivanhoe,385.0
1,320.0,2,Apartment / Unit / Flat,Kennington,320.0
1,360.625,8,Apartment / Unit / Flat,Kensington,362.5
1,345.7142857142857,7,Apartment / Unit / Flat,Kew,360.0
1,260.0,2,Apartment / Unit / Flat,Kingsville,260.0
1,280.0,1,Apartment / Unit / Flat,Lakes Entrance,280.0
1,340.0,1,Apartment / Unit / Flat,Lalor,340.0
1,330.0,1,Apartment / Unit / Flat,Laverton,330.0
1,300.0,1,Apartment / Unit / Flat,Lower Plenty,300.0
1,240.0,1,Apartment / Unit / Flat,Maidstone,240.0
1,320.0,2,Apartment / Unit / Flat,Malvern,320.0
1,591.6666666666666,12,Apartment / Unit / Flat,Malvern East,355.0
1,280.0,1,Apartment / Unit / Flat,Manifold Heights,280.0
1,280.0,2,Apartment / Unit / Flat,Maribyrnong,280.0
1,298.0,1,Apartment / Unit / Flat,McKinnon,298.0
1,130.0,1,Apartment / Unit / Flat,Meadow Heights,130.0
1,452.6214689265537,177,Apartment / Unit / Flat,Melbourne,450.0
1,374.44444444444446,9,Apartment / Unit / Flat,Mentone,320.0
1,475.0,1,Apartment / Unit / Flat,Middle Park,475.0
1,330.0,1,Apartment / Unit / Flat,Mitcham,330.0
1,207.5,2,Apartment / Unit / Flat,Moe,207.5
1,381.5,10,Apartment / Unit / Flat,Moonee Ponds,395.0
1,320.0,1,Apartment / Unit / Flat,Mooroolbark,320.0
1,384.0,5,Apartment / Unit / Flat,Mordialloc,360.0
1,206.66666666666663,3,Apartment / Unit / Flat,Morwell,230.0
1,350.0,1,Apartment / Unit / Flat,Mount Eliza,350.0
1,365.0,2,Apartment / Unit / Flat,Mount Waverley,365.0
1,283.8888888888889,9,Apartment / Unit / Flat,Murrumbeena,280.0
1,182.5,2,Apartment / Unit / Flat,Newborough,182.5
1,305.0,2,Apartment / Unit / Flat,Newport,305.0
1,230.0,1,Apartment / Unit / Flat,Newtown,230.0
1,347.5,2,Apartment / Unit / Flat,Niddrie,347.5
1,257.5,8,Apartment / Unit / Flat,Noble Park,250.0
1,270.0,1,Apartment / Unit / Flat,North Geelong,270.0
1,389.1666666666667,24,Apartment / Unit / Flat,North Melbourne,365.0
1,340.90909090909093,11,Apartment / Unit / Flat,Northcote,340.0
1,340.0,1,Apartment / Unit / Flat,Notting Hill,340.0
1,280.0,1,Apartment / Unit / Flat,Nunawading,280.0
1,413.3333333333333,3,Apartment / Unit / Flat,Oakleigh,370.0
1,325.0,1,Apartment / Unit / Flat,Oakleigh South,325.0
1,310.0,1,Apartment / Unit / Flat,Ocean Grove,310.0
1,295.0,1,Apartment / Unit / Flat,Officer,295.0
1,303.0,5,Apartment / Unit / Flat,Ormond,295.0
1,321.25,4,Apartment / Unit / Flat,Parkdale,312.5
1,372.5,6,Apartment / Unit / Flat,Parkville,385.0
1,310.0,1,Apartment / Unit / Flat,Pascoe Vale,310.0
1,360.0,1,Apartment / Unit / Flat,Pascoe Vale South,360.0
1,330.0,1,Apartment / Unit / Flat,Pearcedale,330.0
1,260.0,1,Apartment / Unit / Flat,Point Cook,260.0
1,426.3636363636364,11,Apartment / Unit / Flat,Port Melbourne,425.0
1,220.0,1,Apartment / Unit / Flat,Portland,220.0
1,388.2692307692308,26,Apartment / Unit / Flat,Prahran,405.0
1,306.7857142857143,14,Apartment / Unit / Flat,Preston,305.0
1,395.0,1,Apartment / Unit / Flat,Princes Hill,395.0
1,130.0,1,Apartment / Unit / Flat,Rainbow,130.0
1,150.0,1,Apartment / Unit / Flat,Red Cliffs,150.0
1,325.0,3,Apartment / Unit / Flat,Reservoir,340.0
1,387.56410256410254,39,Apartment / Unit / Flat,Richmond,390.0
1,375.0,1,Apartment / Unit / Flat,Ringwood,375.0
1,330.0,2,Apartment / Unit / Flat,Ripponlea,330.0
1,340.0,1,Apartment / Unit / Flat,Rosebud,340.0
1,265.0,1,Apartment / Unit / Flat,Sale,265.0
1,423.3333333333333,3,Apartment / Unit / Flat,Sandringham,420.0
1,305.0,3,Apartment / Unit / Flat,Seaford,300.0
1,185.0,1,Apartment / Unit / Flat,Sebastopol,185.0
1,312.5,2,Apartment / Unit / Flat,Seddon,312.5
1,245.0,1,Apartment / Unit / Flat,Shepparton,245.0
1,375.0,1,Apartment / Unit / Flat,Sorrento,375.0
1,310.0,1,Apartment / Unit / Flat,South Kingsville,310.0
1,469.2857142857143,14,Apartment / Unit / Flat,South Melbourne,450.0
1,402.3387096774193,62,Apartment / Unit / Flat,South Yarra,400.0
1,484.4318181818182,44,Apartment / Unit / Flat,Southbank,430.0
1,280.0,1,Apartment / Unit / Flat,Spotswood,280.0
1,265.0,10,Apartment / Unit / Flat,Springvale,265.0
1,255.0,2,Apartment / Unit / Flat,St Albans,255.0
1,406.1111111111111,54,Apartment / Unit / Flat,St Kilda,380.0
1,324.72222222222223,18,Apartment / Unit / Flat,St Kilda East,317.5
1,360.0,11,Apartment / Unit / Flat,St Kilda West,350.0
1,180.0,1,Apartment / Unit / Flat,Strathmerton,180.0
1,350.0,1,Apartment / Unit / Flat,Strathmore,350.0
1,220.0,1,Apartment / Unit / Flat,Sunbury,220.0
1,245.0,2,Apartment / Unit / Flat,Sunshine,245.0
1,220.0,1,Apartment / Unit / Flat,Sunshine North,220.0
1,330.0,2,Apartment / Unit / Flat,Surrey Hills,330.0
1,320.0,1,Apartment / Unit / Flat,Sydenham,320.0
1,320.0,1,Apartment / Unit / Flat,Tawonga South,320.0
1,306.0,15,Apartment / Unit / Flat,Thornbury,310.0
1,353.0,10,Apartment / Unit / Flat,Toorak,350.0
1,255.0,5,Apartment / Unit / Flat,Traralgon,250.0
1,310.0,1,Apartment / Unit / Flat,Truganina,310.0
1,280.0,1,Apartment / Unit / Flat,Tullamarine,280.0
1,210.0,1,Apartment / Unit / Flat,Wangaratta,210.0
1,360.0,1,Apartment / Unit / Flat,Wantirna South,360.0
1,235.0,2,Apartment / Unit / Flat,Warrnambool,235.0
1,300.0,1,Apartment / Unit / Flat,Werribee,300.0
1,330.0,2,Apartment / Unit / Flat,Werribee South,330.0
1,275.0,2,Apartment / Unit / Flat,West Footscray,275.0
1,448.0769230769231,13,Apartment / Unit / Flat,West Melbourne,450.0
1,270.0,1,Apartment / Unit / Flat,West Wodonga,270.0
1,306.0,5,Apartment / Unit / Flat,Williamstown,315.0
1,384.4,10,Apartment / Unit / Flat,Windsor,387.5
1,235.0,2,Apartment / Unit / Flat,Wodonga,235.0
1,470.0,1,House,Abbotsford,470.0
1,220.0,1,House,Balwyn North,220.0
1,300.0,1,House,Benalla,300.0
1,230.0,1,House,Bendigo,230.0
1,195.0,1,House,Berwick,195.0
1,275.0,1,House,Blairgowrie,275.0
1,155.0,1,House,Box Hill,155.0
1,225.0,1,House,Box Hill South,225.0
1,175.0,1,House,Bundalong South,175.0
1,200.0,3,House,Bundoora,200.0
1,210.0,1,House,Burwood,210.0
1,350.0,1,House,Burwood East,350.0
1,495.0,1,House,Carlton,495.0
1,197.0,5,House,Clayton,185.0
1,330.0,2,House,Coburg,330.0
1,180.0,1,House,Coburg North,180.0
1,280.0,1,House,Cowes,280.0
1,305.0,1,House,Cranbourne,305.0
1,165.0,1,House,Dandenong North,165.0
1,425.0,2,House,Daylesford,425.0
1,250.0,1,House,Dimboola,250.0
1,475.0,1,House,Docklands,475.0
1,150.0,1,House,Doncaster,150.0
1,185.0,1,House,East Bendigo,185.0
1,260.0,1,House,Fairfield,260.0
1,320.0,2,House,Fawkner,320.0
1,500.0,1,House,Fitzroy,500.0
1,162.5,2,House,Flora Hill,162.5
1,350.0,1,House,Footscray,350.0
1,260.0,1,House,Forest Hill,260.0
1,170.0,2,House,Frankston,170.0
1,330.0,1,House,Geelong West,330.0
1,371.6666666666667,3,House,Glen Iris,390.0
1,150.0,1,House,Glen Waverley,150.0
1,330.0,1,House,Greenvale,330.0
1,365.0,2,House,Hawthorn,365.0
1,180.0,1,House,Heidelberg Heights,180.0
1,175.0,3,House,Highton,180.0
1,260.0,1,House,Horsham,260.0
1,170.0,1,House,Kingsbury,170.0
1,250.0,1,House,Leongatha,250.0
1,310.0,1,House,Maribyrnong,310.0
1,210.0,1,House,Maryborough,210.0
1,303.3333333333333,3,House,Melbourne,410.0
1,210.0,1,House,Mildura,210.0
1,180.0,1,House,Mill Park,180.0
1,185.0,2,House,Moe,185.0
1,415.0,1,House,Moonee Ponds,415.0
1,200.0,1,House,Morwell,200.0
1,330.0,1,House,Mount Eliza,330.0
1,250.0,1,House,Mount Evelyn,250.0
1,195.0,1,House,Narre Warren,195.0
1,200.0,1,House,Natimuk,200.0
1,280.0,1,House,Newcomb,280.0
1,270.0,1,House,North Geelong,270.0
1,450.0,1,House,North Melbourne,450.0
1,328.3333333333333,3,House,Northcote,330.0
1,150.0,1,House,Notting Hill,150.0
1,300.0,1,House,Peechelba,300.0
1,490.0,1,House,Port Melbourne,490.0
1,200.0,1,House,Portland,200.0
1,240.0,1,House,Redan,240.0
1,350.0,1,House,Richmond,350.0
1,160.0,1,House,Safety Beach,160.0
1,450.0,1,House,Sailors Falls,450.0
1,490.0,3,House,South Yarra,480.0
1,450.0,1,House,Southbank,450.0
1,390.0,1,House,Spotswood,390.0
1,160.0,1,House,Springvale,160.0
1,249.0,1,House,St Kilda,249.0
1,160.0,1,House,Surrey Hills,160.0
1,295.0,2,House,Traralgon,295.0
1,195.0,1,House,Wangaratta,195.0
1,360.0,1,House,Wantirna South,360.0
1,66.0,1,House,Warrnambool,66.0
1,158.33333333333334,3,House,Waurn Ponds,145.0
1,165.0,2,House,West Footscray,165.0
1,360.0,1,House,Williams Landing,360.0
1,390.0,1,House,Yarra Glen,390.0
1,420.0,1,House,Yarrawonga,420.0
1,380.0,1,Semi-Detached,Caulfield North,380.0
1,300.0,1,Studio,Ballarat Central,300.0
1,200.0,1,Studio,Broadmeadows,200.0
1,225.0,1,Studio,Brunswick,225.0
1,315.0,2,Studio,Bundoora,315.0
1,250.0,1,Studio,Burwood,250.0
1,278.25,20,Studio,Carlton,280.0
1,310.0,1,Studio,Cheltenham,310.0
1,300.0,1,Studio,Clayton,300.0
1,200.0,1,Studio,Clyde North,200.0
1,265.0,1,Studio,Dandenong,265.0
1,350.0,1,Studio,Dandenong North,350.0
1,220.0,1,Studio,Echuca,220.0
1,320.0,1,Studio,Fitzroy,320.0
1,235.0,3,Studio,Footscray,250.0
1,242.91666666666663,6,Studio,Frankston,245.0
1,425.0,1,Studio,Gembrook,425.0
1,240.0,1,Studio,Hawthorn East,240.0
1,170.0,1,Studio,Kingsbury,170.0
1,213.33333333333331,9,Studio,Macleod,215.0
1,252.5,4,Studio,Malvern East,240.0
1,341.875,8,Studio,Melbourne,367.5
1,190.0,3,Studio,Noble Park,190.0
1,287.5,2,Studio,North Melbourne,287.5
1,325.0,1,Studio,Oakleigh South,325.0
1,235.0,1,Studio,Prahran,235.0
1,260.0,1,Studio,Preston,260.0
1,308.3333333333333,3,Studio,South Yarra,305.0
1,287.0,5,Studio,St Kilda,270.0
1,300.0,1,Studio,Torquay,300.0
1,295.0,1,Studio,Werribee,295.0
1,350.0,1,Studio,West Melbourne,350.0
1,280.0,1,Studio,Wodonga,280.0
1,322.5,2,Townhouse,Box Hill,322.5
1,184.0,1,Townhouse,Broadmeadows,184.0
1,180.0,2,Townhouse,Clayton,180.0
1,350.0,1,Townhouse,East Bendigo,350.0
1,340.0,1,Townhouse,Geelong,340.0
1,400.0,2,Townhouse,Kensington,400.0
1,695.0,1,Townhouse,Port Melbourne,695.0
1,350.0,2,Townhouse,Reservoir,350.0
1,320.0,1,Townhouse,West Footscray,320.0
2,320.0,1,Acreage / Semi-Rural,Lalor,320.0
2,542.2222222222222,18,Apartment / Unit / Flat,Abbotsford,580.0
2,428.3333333333333,3,Apartment / Unit / Flat,Aberfeldie,430.0
2,743.3333333333334,3,Apartment / Unit / Flat,Albert Park,810.0
2,330.0,1,Apartment / Unit / Flat,Albion,330.0
2,280.0,1,Apartment / Unit / Flat,Alexandra,280.0
2,295.0,2,Apartment / Unit / Flat,Alfredton,295.0
2,469.25,8,Apartment / Unit / Flat,Alphington,465.0
2,381.4285714285714,14,Apartment / Unit / Flat,Altona,390.0
2,359.0,5,Apartment / Unit / Flat,Altona Meadows,360.0
2,300.0,1,Apartment / Unit / Flat,Altona North,300.0
2,500.0,1,Apartment / Unit / Flat,Apollo Bay,500.0
2,260.0,2,Apartment / Unit / Flat,Ararat,260.0
2,390.0,3,Apartment / Unit / Flat,Ardeer,390.0
2,546.5625,16,Apartment / Unit / Flat,Armadale,445.0
2,394.375,16,Apartment / Unit / Flat,Ascot Vale,395.0
2,380.0,1,Apartment / Unit / Flat,Ashburton,380.0
2,490.0,1,Apartment / Unit / Flat,Ashwood,490.0
2,362.5,2,Apartment / Unit / Flat,Aspendale,362.5
2,410.0,1,Apartment / Unit / Flat,Aspendale Gardens,410.0
2,330.0,1,Apartment / Unit / Flat,Avondale Heights,330.0
2,485.0,10,Apartment / Unit / Flat,Balaclava,425.0
2,320.0,1,Apartment / Unit / Flat,Ballarat East,320.0
2,530.0,1,Apartment / Unit / Flat,Balnarring,530.0
2,432.77777777777777,9,Apartment / Unit / Flat,Balwyn,450.0
2,461.875,8,Apartment / Unit / Flat,Balwyn North,435.0
2,350.0,1,Apartment / Unit / Flat,Baxter,350.0
2,415.0,1,Apartment / Unit / Flat,Bayswater,415.0
2,390.0,1,Apartment / Unit / Flat,Bayswater North,390.0
2,367.5,2,Apartment / Unit / Flat,Beaconsfield,367.5
2,432.5,2,Apartment / Unit / Flat,Beaumaris,432.5
2,350.0,1,Apartment / Unit / Flat,Beechworth,350.0
2,385.0,1,Apartment / Unit / Flat,Bell Park,385.0
2,360.0,2,Apartment / Unit / Flat,Bell Post Hill,360.0
2,398.0,5,Apartment / Unit / Flat,Belmont,400.0
2,330.0,2,Apartment / Unit / Flat,Benalla,330.0
2,397.5,4,Apartment / Unit / Flat,Bendigo,385.0
2,456.9230769230769,13,Apartment / Unit / Flat,Bentleigh,450.0
2,541.7857142857143,14,Apartment / Unit / Flat,Bentleigh East,510.0
2,392.5,4,Apartment / Unit / Flat,Berwick,375.0
2,270.0,1,Apartment / Unit / Flat,Black Hill,270.0
2,480.0,1,Apartment / Unit / Flat,Black Rock,480.0
2,425.55555555555554,9,Apartment / Unit / Flat,Blackburn,420.0
2,405.0,1,Apartment / Unit / Flat,Blackburn North,405.0
2,395.0,1,Apartment / Unit / Flat,Blackburn South,395.0
2,420.0,4,Apartment / Unit / Flat,Bonbeach,422.5
2,397.5,6,Apartment / Unit / Flat,Boronia,400.0
2,444.60526315789474,38,Apartment / Unit / Flat,Box Hill,450.0
2,416.6666666666667,3,Apartment / Unit / Flat,Box Hill North,440.0
2,430.0,1,Apartment / Unit / Flat,Box Hill South,430.0
2,300.0,2,Apartment / Unit / Flat,Braybrook,300.0
2,280.0,1,Apartment / Unit / Flat,Breakwater,280.0
2,360.0,1,Apartment / Unit / Flat,Briar Hill,360.0
2,524.375,16,Apartment / Unit / Flat,Brighton,505.0
2,426.4285714285714,7,Apartment / Unit / Flat,Brighton East,400.0
2,320.0,2,Apartment / Unit / Flat,Broadmeadows,320.0
2,340.0,1,Apartment / Unit / Flat,Brooklyn,340.0
2,320.0,1,Apartment / Unit / Flat,Brown Hill,320.0
2,493.75,28,Apartment / Unit / Flat,Brunswick,462.5
2,489.5862068965517,29,Apartment / Unit / Flat,Brunswick East,490.0
2,405.3125,32,Apartment / Unit / Flat,Brunswick West,400.0
2,365.0,3,Apartment / Unit / Flat,Bulleen,360.0
2,384.26666666666665,15,Apartment / Unit / Flat,Bundoora,390.0
2,400.0,1,Apartment / Unit / Flat,Burnley,400.0
2,447.7272727272728,11,Apartment / Unit / Flat,Burwood,440.0
2,530.0,2,Apartment / Unit / Flat,Burwood East,530.0
2,387.5,2,Apartment / Unit / Flat,Cairnlea,387.5
2,481.5,20,Apartment / Unit / Flat,Camberwell,450.0
2,470.0,5,Apartment / Unit / Flat,Canterbury,430.0
2,423.3333333333333,3,Apartment / Unit / Flat,Capel Sound,420.0
2,578.6585365853658,41,Apartment / Unit / Flat,Carlton,550.0
2,535.0,2,Apartment / Unit / Flat,Carlton North,535.0
2,413.6666666666667,30,Apartment / Unit / Flat,Carnegie,400.0
2,410.0,2,Apartment / Unit / Flat,Caroline Springs,410.0
2,380.0,1,Apartment / Unit / Flat,Carrum,380.0
2,397.5,2,Apartment / Unit / Flat,Carrum Downs,397.5
2,465.55555555555554,9,Apartment / Unit / Flat,Caulfield,450.0
2,491.2162162162162,37,Apartment / Unit / Flat,Caulfield North,470.0
2,468.75,8,Apartment / Unit / Flat,Caulfield South,492.5
2,420.0,2,Apartment / Unit / Flat,Chadstone,420.0
2,422.0,5,Apartment / Unit / Flat,Chelsea,420.0
2,401.6666666666667,21,Apartment / Unit / Flat,Cheltenham,390.0
2,390.0,1,Apartment / Unit / Flat,Chirnside Park,390.0
2,445.0,1,Apartment / Unit / Flat,Clarinda,445.0
2,406.5384615384616,13,Apartment / Unit / Flat,Clayton,395.0
2,416.0,5,Apartment / Unit / Flat,Clayton South,425.0
2,552.5,2,Apartment / Unit / Flat,Clifton Hill,552.5
2,270.0,2,Apartment / Unit / Flat,Cobram,270.0
2,416.1764705882353,17,Apartment / Unit / Flat,Coburg,420.0
2,400.0,1,Apartment / Unit / Flat,Coburg North,400.0
2,240.0,1,Apartment / Unit / Flat,Coleraine,240.0
2,583.9285714285714,14,Apartment / Unit / Flat,Collingwood,585.0
2,320.0,1,Apartment / Unit / Flat,Corio,320.0
2,380.0,1,Apartment / Unit / Flat,Cowes,380.0
2,348.3333333333333,3,Apartment / Unit / Flat,Craigieburn,345.0
2,353.75,4,Apartment / Unit / Flat,Cranbourne,357.5
2,350.0,1,Apartment / Unit / Flat,Cranbourne North,350.0
2,300.0,1,Apartment / Unit / Flat,Creswick,300.0
2,397.0833333333333,12,Apartment / Unit / Flat,Croydon,390.0
2,410.0,1,Apartment / Unit / Flat,Croydon North,410.0
2,285.0,1,Apartment / Unit / Flat,Dallas,285.0
2,307.4447826086956,23,Apartment / Unit / Flat,Dandenong,310.0
2,330.8333333333333,12,Apartment / Unit / Flat,Dandenong North,320.0
2,380.0,1,Apartment / Unit / Flat,Darley,380.0
2,397.5,4,Apartment / Unit / Flat,Deepdene,400.0
2,323.3333333333333,3,Apartment / Unit / Flat,Deer Park,340.0
2,450.0,1,Apartment / Unit / Flat,Dingley Village,450.0
2,616.031746031746,63,Apartment / Unit / Flat,Docklands,600.0
2,444.75,20,Apartment / Unit / Flat,Doncaster,445.0
2,439.0,15,Apartment / Unit / Flat,Doncaster East,440.0
2,80.77,1,Apartment / Unit / Flat,Doveton,80.77
2,313.3333333333333,3,Apartment / Unit / Flat,Drouin,300.0
2,380.0,1,Apartment / Unit / Flat,Drumcondra,380.0
2,270.0,2,Apartment / Unit / Flat,Eaglehawk,270.0
2,520.0,1,Apartment / Unit / Flat,Eaglemont,520.0
2,410.0,1,Apartment / Unit / Flat,East Geelong,410.0
2,570.0,14,Apartment / Unit / Flat,East Melbourne,552.5
2,879.8,5,Apartment / Unit / Flat,Echuca,390.0
2,295.0,1,Apartment / Unit / Flat,Echuca Village,295.0
2,422.5,2,Apartment / Unit / Flat,Edithvale,422.5
2,471.94444444444446,18,Apartment / Unit / Flat,Elsternwick,450.0
2,493.95454545454544,44,Apartment / Unit / Flat,Elwood,492.5
2,342.22222222222223,9,Apartment / Unit / Flat,Epping,335.0
2,408.7142857142857,35,Apartment / Unit / Flat,Essendon,400.0
2,390.7142857142857,7,Apartment / Unit / Flat,Essendon North,380.0
2,450.0,1,Apartment / Unit / Flat,Essendon West,450.0
2,406.5,6,Apartment / Unit / Flat,Fairfield,400.0
2,376.6666666666667,3,Apartment / Unit / Flat,Fawkner,360.0
2,375.0,2,Apartment / Unit / Flat,Ferntree Gully,375.0
2,785.5333333333333,15,Apartment / Unit / Flat,Fitzroy,620.0
2,528.0769230769231,13,Apartment / Unit / Flat,Fitzroy North,560.0
2,426.3333333333333,15,Apartment / Unit / Flat,Flemington,440.0
2,416.2244897959184,49,Apartment / Unit / Flat,Footscray,450.0
2,480.0,1,Apartment / Unit / Flat,Forest Hill,480.0
2,290.0,2,Apartment / Unit / Flat,Foster,290.0
2,361.8333333333333,18,Apartment / Unit / Flat,Frankston,359.5
2,386.6666666666667,3,Apartment / Unit / Flat,Frankston South,370.0
2,417.5,2,Apartment / Unit / Flat,Gardenvale,417.5
2,380.0,1,Apartment / Unit / Flat,Garfield,380.0
2,422.27272727272725,11,Apartment / Unit / Flat,Geelong,390.0
2,393.0,5,Apartment / Unit / Flat,Geelong West,395.0
2,350.0,2,Apartment / Unit / Flat,Gisborne,350.0
2,423.84615384615387,13,Apartment / Unit / Flat,Glen Huntly,400.0
2,502.32,25,Apartment / Unit / Flat,Glen Iris,450.0
2,522.5,8,Apartment / Unit / Flat,Glen Waverley,525.0
2,374.1666666666667,12,Apartment / Unit / Flat,Glenroy,377.5
2,428.3333333333333,3,Apartment / Unit / Flat,Greensborough,425.0
2,375.0,2,Apartment / Unit / Flat,Grovedale,375.0
2,350.0,2,Apartment / Unit / Flat,Hadfield,350.0
2,385.0,2,Apartment / Unit / Flat,Hallam,385.0
2,350.0,1,Apartment / Unit / Flat,Hamilton,350.0
2,557.0,5,Apartment / Unit / Flat,Hampton,480.0
2,387.0,5,Apartment / Unit / Flat,Hampton East,370.0
2,390.0,1,Apartment / Unit / Flat,Hampton Park,390.0
2,300.0,1,Apartment / Unit / Flat,Harkness,300.0
2,401.0,5,Apartment / Unit / Flat,Hastings,400.0
