beds,avg_price,count,propertyType,suburb,median
1,500.0,1,Acreage / Semi-Rural,Oaklands Junction,500.0
1,401.0,15,Apartment / Unit / Flat,Abbotsford,410.0
1,290.0,1,Apartment / Unit / Flat,Airport West,290.0
1,417.5,2,Apartment / Unit / Flat,Albert Park,417.5
1,320.0,2,Apartment / Unit / Flat,Alphington,320.0
1,390.0,2,Apartment / Unit / Flat,Altona,390.0
1,447.5,4,Apartment / Unit / Flat,Armadale,455.0
1,278.75,4,Apartment / Unit / Flat,Ascot Vale,280.0
1,190.0,1,Apartment / Unit / Flat,Avondale Heights,190.0
1,358.3333333333333,3,Apartment / Unit / Flat,Balaclava,375.0
1,470.0,1,Apartment / Unit / Flat,Balwyn,470.0
1,220.0,1,Apartment / Unit / Flat,Bell Park,220.0
1,260.0,1,Apartment / Unit / Flat,Belmont,260.0
1,250.0,3,Apartment / Unit / Flat,Bendigo,280.0
1,377.5,2,Apartment / Unit / Flat,Bentleigh,377.5
1,370.0,1,Apartment / Unit / Flat,Bentleigh East,370.0
1,358.75,4,Apartment / Unit / Flat,Blackburn,360.0
1,175.0,1,Apartment / Unit / Flat,Boort,175.0
1,250.0,1,Apartment / Unit / Flat,Boronia,250.0
1,295.0,14,Apartment / Unit / Flat,Box Hill,260.0
1,380.0,1,Apartment / Unit / Flat,Box Hill North,380.0
1,360.0,1,Apartment / Unit / Flat,Box Hill South,360.0
1,407.5,4,Apartment / Unit / Flat,Brighton,415.0
1,230.0,1,Apartment / Unit / Flat,Brooklyn,230.0
1,195.0,1,Apartment / Unit / Flat,Brown Hill,195.0
1,383.6111111111111,18,Apartment / Unit / Flat,Brunswick,380.0
1,379.0,10,Apartment / Unit / Flat,Brunswick East,395.0
1,328.84615384615387,13,Apartment / Unit / Flat,Brunswick West,340.0
1,260.0,1,Apartment / Unit / Flat,Bulleen,260.0
1,318.0,5,Apartment / Unit / Flat,Bundoora,320.0
1,247.5,4,Apartment / Unit / Flat,Burwood,250.0
1,400.0,1,Apartment / Unit / Flat,Burwood East,400.0
1,404.2857142857143,7,Apartment / Unit / Flat,Camberwell,410.0
1,250.0,2,Apartment / Unit / Flat,Campbellfield,250.0
1,357.5,34,Apartment / Unit / Flat,Carlton,350.0
1,366.6666666666667,6,Apartment / Unit / Flat,Carlton North,370.0
1,325.6923076923077,13,Apartment / Unit / Flat,Carnegie,320.0
1,290.0,1,Apartment / Unit / Flat,Castlemaine,290.0
1,290.0,4,Apartment / Unit / Flat,Caulfield East,287.5
1,363.6666666666667,15,Apartment / Unit / Flat,Caulfield North,390.0
1,300.0,1,Apartment / Unit / Flat,Caulfield South,300.0
1,375.0,1,Apartment / Unit / Flat,Chadstone,375.0
1,357.5,2,Apartment / Unit / Flat,Cheltenham,357.5
1,313.3333333333333,6,Apartment / Unit / Flat,Clayton,280.0
1,397.5,4,Apartment / Unit / Flat,Clifton Hill,377.5
1,345.0,6,Apartment / Unit / Flat,Coburg,352.5
1,456.3333333333333,15,Apartment / Unit / Flat,Collingwood,465.0
1,275.0,1,Apartment / Unit / Flat,Cowes,275.0
1,280.0,3,Apartment / Unit / Flat,Dandenong,275.0
1,290.0,1,Apartment / Unit / Flat,Deer Park,290.0
1,448.1578947368421,38,Apartment / Unit / Flat,Docklands,450.0
1,379.1666666666667,6,Apartment / Unit / Flat,Doncaster,377.5
1,385.0,1,Apartment / Unit / Flat,Doncaster East,385.0
1,400.0,1,Apartment / Unit / Flat,Donvale,400.0
1,270.0,1,Apartment / Unit / Flat,Drouin,270.0
1,335.0,1,Apartment / Unit / Flat,Eaglemont,335.0
1,591.5,10,Apartment / Unit / Flat,East Melbourne,487.5
1,803.5,2,Apartment / Unit / Flat,Echuca,803.5
1,350.0,1,Apartment / Unit / Flat,Edithvale,350.0
1,408.125,8,Apartment / Unit / Flat,Elsternwick,420.0
1,375.0,1,Apartment / Unit / Flat,Eltham,375.0
1,360.55555555555554,18,Apartment / Unit / Flat,Elwood,345.0
1,290.0,1,Apartment / Unit / Flat,Epping,290.0
1,331.8421052631579,19,Apartment / Unit / Flat,Essendon,330.0
1,360.0,2,Apartment / Unit / Flat,Essendon North,360.0
1,300.0,1,Apartment / Unit / Flat,Eumemmerring,300.0
1,348.3333333333333,6,Apartment / Unit / Flat,Fairfield,352.5
1,308.3333333333333,3,Apartment / Unit / Flat,Fawkner,325.0
1,420.0,9,Apartment / Unit / Flat,Fitzroy,430.0
1,423.0769230769231,13,Apartment / Unit / Flat,Fitzroy North,450.0
1,310.5,10,Apartment / Unit / Flat,Flemington,315.0
1,340.741935483871,31,Apartment / Unit / Flat,Footscray,350.0
1,319.0,5,Apartment / Unit / Flat,Frankston,340.0
1,335.0,2,Apartment / Unit / Flat,Gardenvale,335.0
1,336.6666666666667,3,Apartment / Unit / Flat,Geelong,340.0
1,366.6666666666667,3,Apartment / Unit / Flat,Geelong West,340.0
1,280.0,1,Apartment / Unit / Flat,Gisborne,280.0
1,311.6666666666667,6,Apartment / Unit / Flat,Glen Huntly,300.0
