Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Barwidgee,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Bogong,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Bright,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Buckland,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Buffalo River,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Coral Bank,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Dandongadale,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Dederang,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Dinner Plain,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Eurobin,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Falls Creek,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Freeburgh,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Gapsted,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Germantown,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Glen Creek,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Harrietville,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Havilah,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Hotham Heights,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Kancoona,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Kergunyah South,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Merriang,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Merriang South,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Mongans Bridge,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Mount Beauty,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Mount Buffalo,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Mudgegonga,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Myrtleford,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Nug Nug,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Ovens,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Porepunkah,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Rosewhite,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Running Creek,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Selwyn,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Smoko,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Tawonga,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
Tawonga South,ALPINE,March,"1,512.60",188,"2,405.70",,,299,526,"4,232.00",133,"1,070.10"
