Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Barwidgee,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Bogong,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Bright,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Buckland,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Buffalo River,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Coral Bank,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Dandongadale,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Dederang,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Dinner Plain,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Eurobin,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Falls Creek,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Freeburgh,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Gapsted,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Germantown,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Glen Creek,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Harrietville,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Havilah,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Hotham Heights,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Kancoona,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Kergunyah South,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Merriang,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Merriang South,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Mongans Bridge,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Mount Beauty,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Mount Buffalo,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Mudgegonga,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Myrtleford,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Nug Nug,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Ovens,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Porepunkah,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Rosewhite,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Running Creek,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Selwyn,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Smoko,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Tawonga,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Tawonga South,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Upper Gundowring,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Wandiligong,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Wonnangatta,ALPINE,March,"1,882.30",247,"2,827.30",142,"1,082.10",371,548,"4,176.20",179,"1,364.10"
Abbotsford,YARRA,March,"3,303.00","3,324","8,734.40","1,121","1,113.90","8,790","11,378","11,306.00","5,385","5,350.90"
Alphington,YARRA,March,"3,303.00","3,324","8,734.40","1,121","1,113.90","8,790","11,378","11,306.00","5,385","5,350.90"
Burnley,YARRA,March,"3,303.00","3,324","8,734.40","1,121","1,113.90","8,790","11,378","11,306.00","5,385","5,350.90"
Carlton North,YARRA,March,"3,303.00","3,324","8,734.40","1,121","1,113.90","8,790","11,378","11,306.00","5,385","5,350.90"
Clifton Hill,YARRA,March,"3,303.00","3,324","8,734.40","1,121","1,113.90","8,790","11,378","11,306.00","5,385","5,350.90"
