Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Avondale Heights,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon Fields,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon North,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Essendon West,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Keilor East,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Moonee Ponds,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Niddrie,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Strathmore,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Strathmore Heights,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Travancore,MOONEE VALLEY,March,"2,129.70","2,459","5,909.20",,,"6,823","8,267","7,159.80","4,218","3,653.10"
Aberfeldy,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Ada,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Allambee,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Allambee Reserve,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Amor,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Athlone,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Baw Baw,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Bona Vista,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Boola,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Brandy Creek,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Bravington,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Buln Buln,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Buln Buln East,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Caringal,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Childers,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Cloverlea,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Coalville,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Coopers Creek,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Crossover,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Darnum,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Drouin,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Drouin East,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Drouin South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Drouin West,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Ellinbank,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Erica,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Ferndale,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Fumina,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Fumina South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
