Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Running Creek,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Selwyn,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Smoko,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Tawonga,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Tawonga South,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Upper Gundowring,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Wandiligong,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Wonnangatta,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Abbotsford,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Alphington,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Burnley,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Carlton North,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Clifton Hill,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Collingwood,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Cremorne,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Fairfield,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Fitzroy,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Fitzroy North,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Princes Hill,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Richmond,YARRA,March,"3,683.80","3,422","11,177.30",,,"10,383","13,364","14,386.30","6,337","6,821.80"
Aberfeldie,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Airport West,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Ascot Vale,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Avondale Heights,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Essendon,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Essendon Fields,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Essendon North,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Essendon West,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Keilor East,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Moonee Ponds,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Niddrie,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Strathmore,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Strathmore Heights,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Travancore,MOONEE VALLEY,March,"1,906.10","2,342","5,750.70",,,"7,066","9,408","7,656.80","4,708","3,831.70"
Aberfeldy,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Ada,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Allambee,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Allambee Reserve,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Amor,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Athlone,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Baw Baw,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Bona Vista,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Boola,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Brandy Creek,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Bravington,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Buln Buln,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Buln Buln East,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Caringal,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Childers,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Cloverlea,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Coalville,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Coopers Creek,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Crossover,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Darnum,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Drouin,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Drouin East,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Drouin South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Drouin West,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Ellinbank,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Erica,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Ferndale,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Fumina,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Fumina South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Gainsborough,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Gentle Annie,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Hallora,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Hill End,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Icy Creek,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Jacob Creek,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Jericho,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Jindivick,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Labertouche,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Lardner,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Lillico,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Loch Valley,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Longwarry,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Longwarry North,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Modella,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Moondarra,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Mountain View,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Narracan,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Nayook,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Neerim,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Neerim East,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Neerim Junction,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Neerim North,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Neerim South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Nilma,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Nilma North,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Noojee,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Piedmont,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Rawson,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Ripplebrook,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Rokeby,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Seaview,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Shady Creek,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Tanjil,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Tanjil Bren,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Tanjil South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Tetoora Road,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Thalloo,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Thorpdale,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Thorpdale South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Toombon,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Toongabbie,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Toorongo,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Torwood,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Trafalgar,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Trafalgar East,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Trafalgar South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Vesper,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Walhalla,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Warragul,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Warragul South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Warragul West,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Westbury,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Willow Grove,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Yarragon,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Yarragon South,BAW BAW,March,"2,819.70","1,390","5,379.70",,,"2,652","3,965","8,043.20","1,354","2,746.70"
Acheron,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Alexandra,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Buxton,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Castella,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Cathkin,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Caveat,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Devils River,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Dropmore,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Eildon,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Fawcett,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Flowerdale,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Ghin Ghin,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Glenburn,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Gobur,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Highlands,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Homewood,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Kanumbra,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Kerrisdale,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Killingworth,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Kinglake,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Kinglake Central,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Kinglake West,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Koriella,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Limestone,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Maintongoon,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Marysville,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Molesworth,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Murrindindi,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Narbethong,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Pheasant Creek,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Rubicon,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Strath Creek,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Taggerty,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Taylor Bay,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Terip Terip,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Thornton,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Toolangi,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Whanregarwen,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Yarck,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Yea,MURRINDINDI,March,"1,857.40",261,"4,049.20",,,569,732,"5,209.20",331,"2,355.50"
Adams Estate,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Almurta,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Anderson,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Archies Creek,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Bass,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Cape Paterson,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Cape Woolamai,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Churchill Island,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Corinella,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Coronet Bay,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Cowes,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Dalyston,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Glen Alvie,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Glen Forbes,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Grantville,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Harmers Haven,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Inverloch,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Jam Jerrup,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Kernot,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Kilcunda,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Krowera,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Lance Creek,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Newhaven,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
North Wonthaggi,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Pioneer Bay,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Queensferry,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Rhyll,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Ryanston,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
San Remo,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Silverleaves,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Smiths Beach,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
South Dudley,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
St Clair,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Summerlands,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Sunderland Bay,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Sunset Strip,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Surf Beach,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Tenby Point,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
The Gurdies,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Ventnor,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Wattle Bank,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
West Creek,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Wimbledon Heights,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
Wonthaggi,BASS COAST,March,"3,311.00","1,108","6,045.30",,,"2,023","2,967","8,866.20","1,265","3,780.20"
