Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Barwidgee,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Bogong,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Bright,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Buckland,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Buffalo River,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Coral Bank,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Dandongadale,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Dederang,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Dinner Plain,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Eurobin,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Falls Creek,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Freeburgh,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Gapsted,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Germantown,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Glen Creek,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Harrietville,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Havilah,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Hotham Heights,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Kancoona,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Kergunyah South,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Merriang,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Merriang South,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Mongans Bridge,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Mount Beauty,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Mount Buffalo,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Mudgegonga,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Myrtleford,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Nug Nug,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Ovens,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Porepunkah,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
Rosewhite,ALPINE,March,"1,470.80",185,"2,607.70",,,328,438,"3,482.30",166,"1,319.80"
