Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Barwidgee,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Bogong,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Bright,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Buckland,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Buffalo River,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Coral Bank,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Dandongadale,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Dederang,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Dinner Plain,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Eurobin,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Falls Creek,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Freeburgh,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Gapsted,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Germantown,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Glen Creek,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Harrietville,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Havilah,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Hotham Heights,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Kancoona,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
Kergunyah South,ALPINE,March,"1,547.50",197,"2,505.90",89,699.1,319,483,"3,794.20",174,"1,366.80"
