Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Barwidgee,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Bogong,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Bright,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Buckland,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Buffalo River,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Coral Bank,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Dandongadale,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Dederang,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Dinner Plain,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Eurobin,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Falls Creek,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Freeburgh,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Gapsted,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Germantown,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Glen Creek,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Harrietville,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Havilah,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Hotham Heights,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Kancoona,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Kergunyah South,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Merriang,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Merriang South,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Mongans Bridge,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Mount Beauty,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Mount Buffalo,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Mudgegonga,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Myrtleford,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Nug Nug,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Ovens,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Porepunkah,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Rosewhite,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Running Creek,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Selwyn,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Smoko,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Tawonga,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Tawonga South,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Upper Gundowring,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Wandiligong,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Wonnangatta,ALPINE,March,"1,618.80",200,"2,873.30",,,355,465,"3,763.70",178,"1,440.70"
Abbotsford,YARRA,March,"3,965.50","3,459","11,224.60",,,"9,791","11,889","13,629.80","5,751","6,593.10"
Alphington,YARRA,March,"3,965.50","3,459","11,224.60",,,"9,791","11,889","13,629.80","5,751","6,593.10"
Burnley,YARRA,March,"3,965.50","3,459","11,224.60",,,"9,791","11,889","13,629.80","5,751","6,593.10"
