Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Barwidgee,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Bogong,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Bright,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Buckland,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Buffalo River,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Coral Bank,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Dandongadale,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Dederang,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Dinner Plain,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Eurobin,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Falls Creek,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Freeburgh,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Gapsted,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Germantown,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Glen Creek,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Harrietville,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Havilah,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Hotham Heights,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Kancoona,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Kergunyah South,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Merriang,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Merriang South,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Mongans Bridge,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Mount Beauty,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Mount Buffalo,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Mudgegonga,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Myrtleford,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Nug Nug,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Ovens,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Porepunkah,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Rosewhite,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Running Creek,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Selwyn,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Smoko,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Tawonga,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Tawonga South,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Upper Gundowring,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Wandiligong,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Wonnangatta,ALPINE,March,"1,896.50",246,"3,376.80",116,894.3,438,597,"4,602.60",242,"1,865.70"
Abbotsford,YARRA,March,"3,154.00","3,251","11,087.00","1,127","1,093.40","11,428","14,028","13,609.40","7,226","7,010.40"
