Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Barwidgee,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Bogong,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Bright,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Buckland,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Buffalo River,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Coral Bank,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Dandongadale,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Dederang,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Dinner Plain,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Eurobin,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Falls Creek,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Freeburgh,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Gapsted,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Germantown,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Glen Creek,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Harrietville,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Havilah,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Hotham Heights,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Kancoona,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Kergunyah South,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Merriang,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Merriang South,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Mongans Bridge,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Mount Beauty,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Mount Buffalo,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
Mudgegonga,ALPINE,March,"1,186.90",150,"2,215.50",,,280,396,"3,133.40",151,"1,194.80"
