Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Barwidgee,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Bogong,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Bright,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Buckland,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Buffalo River,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Coral Bank,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Dandongadale,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Dederang,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Dinner Plain,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Eurobin,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Falls Creek,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Freeburgh,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Gapsted,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Germantown,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Glen Creek,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Harrietville,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Havilah,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Hotham Heights,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Kancoona,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
Kergunyah South,ALPINE,March,"1,693.70",217,"3,114.30",136,"1,061.50",399,573,"4,472.40",204,"1,592.30"
