Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Abbeyard,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Barwidgee,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Bogong,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Bright,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Buckland,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Buffalo River,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Coral Bank,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Dandongadale,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Dederang,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Dinner Plain,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Eurobin,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Falls Creek,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Freeburgh,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Gapsted,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Germantown,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Glen Creek,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Harrietville,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Havilah,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Hotham Heights,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Kancoona,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Kergunyah South,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Merriang,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Merriang South,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Mongans Bridge,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Mount Beauty,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Mount Buffalo,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Mudgegonga,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Myrtleford,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Nug Nug,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Ovens,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Porepunkah,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Rosewhite,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Running Creek,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Selwyn,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Smoko,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Tawonga,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Tawonga South,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Upper Gundowring,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Wandiligong,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
Wonnangatta,ALPINE,March,"1,813.50",237,"3,060.70",154,"1,178.40",400,548,"4,193.10",192,"1,469.10"
